order_id,order_date,customer_id,product,category,region,channel,quantity,unit_price,unit_cost,discount_pct,gross_revenue,discount_amount,net_revenue,total_cost,profit,margin_pct,order_month
ORD100014,2024-06-10,CUST1232,Laptop Pro 14,Electronics,North,Wholesale,5,1323.71,815.2,5,6618.55,330.93,6287.62,4076.0,2211.62,35.17,2024-06
ORD100015,2025-10-02,CUST1152,Water Bottle,Accessories,Islands,Wholesale,2,31.88,20.51,0,63.76,0.0,63.76,41.02,22.74,35.66,2025-10
ORD100016,2024-01-01,CUST1306,Office Chair,Furniture,South,Online,2,93.76,60.08,20,187.52,37.5,150.02,120.16,29.86,19.9,2024-01
ORD100017,2024-09-03,CUST1449,Pen Set,Stationery,South,Retail,5,8.0,5.37,0,40.0,0.0,40.0,26.85,13.15,32.88,2024-09
ORD100018,2024-05-11,CUST1337,Desk Lamp,Furniture,Islands,Wholesale,5,124.12,84.64,5,620.6,31.03,589.57,423.2,166.37,28.22,2024-05
ORD100019,2025-12-07,CUST1102,Backpack,Accessories,Center,Online,1,119.47,85.12,0,119.47,0.0,119.47,85.12,34.35,28.75,2025-12
ORD100020,2024-08-18,CUST1032,Office Chair,Furniture,South,Online,1,345.74,241.02,0,345.74,0.0,345.74,241.02,104.72,30.29,2024-08
ORD100021,2024-03-10,CUST1463,Laptop Pro 14,Electronics,North,Online,4,180.62,110.09,10,722.48,72.25,650.23,440.36,209.87,32.28,2024-03
ORD100022,2025-08-07,CUST1295,Desk Lamp,Furniture,South,Online,1,299.59,195.26,0,299.59,0.0,299.59,195.26,104.33,34.82,2025-08
ORD100023,2025-02-24,CUST1239,Backpack,Accessories,South,Retail,1,81.88,58.26,0,81.88,0.0,81.88,58.26,23.62,28.85,2025-02
ORD100024,2024-04-21,CUST1127,Smartphone X,Electronics,North,Wholesale,1,717.03,469.99,0,717.03,0.0,717.03,469.99,247.04,34.45,2024-04
ORD100025,2025-03-29,CUST1413,Notebook Pack,Stationery,North,Retail,1,27.83,19.07,0,27.83,0.0,27.83,19.07,8.76,31.48,2025-03
ORD100026,2024-08-30,CUST1085,Standing Desk,Furniture,Center,Wholesale,2,151.84,98.74,0,303.68,0.0,303.68,197.48,106.2,34.97,2024-08
ORD100027,2024-09-28,CUST1474,Desk Lamp,Furniture,South,Online,1,427.06,312.88,10,427.06,42.71,384.35,312.88,71.47,18.6,2024-09
ORD100028,2024-07-13,CUST1151,Smartphone X,Electronics,North,Retail,5,902.44,618.67,10,4512.2,451.22,4060.98,3093.35,967.63,23.83,2024-07
ORD100029,2025-05-29,CUST1470,Notebook Pack,Stationery,Center,Retail,1,38.63,22.02,0,38.63,0.0,38.63,22.02,16.61,43.0,2025-05
ORD100030,2024-08-28,CUST1206,Laptop Air 13,Electronics,North,Retail,5,888.94,617.57,0,4444.7,0.0,4444.7,3087.85,1356.85,30.53,2024-08
ORD100031,2025-08-01,CUST1267,Office Chair,Furniture,Center,Retail,5,146.43,106.75,0,732.15,0.0,732.15,533.75,198.4,27.1,2025-08
ORD100032,2024-11-03,CUST1234,Office Chair,Furniture,Center,Online,5,563.37,311.17,5,2816.85,140.84,2676.01,1555.85,1120.16,41.86,2024-11
ORD100033,2025-07-04,CUST1109,Notebook Pack,Stationery,Center,Online,1,37.66,29.01,15,37.66,5.65,32.01,29.01,3.0,9.37,2025-07
ORD100034,2025-07-10,CUST1360,Wireless Headphones,Electronics,South,Online,3,1481.87,1057.31,0,4445.61,0.0,4445.61,3171.93,1273.68,28.65,2025-07
ORD100035,2025-11-10,CUST1053,Monitor 27,Electronics,North,Online,1,1343.39,988.2,0,1343.39,0.0,1343.39,988.2,355.19,26.44,2025-11
ORD100036,2024-12-17,CUST1104,Water Bottle,Accessories,South,Online,3,39.04,26.24,15,117.12,17.57,99.55,78.72,20.83,20.93,2024-12
ORD100037,2025-03-09,CUST1424,Wireless Headphones,Electronics,North,Online,1,553.65,322.61,20,553.65,110.73,442.92,322.61,120.31,27.16,2025-03
ORD100038,2025-12-23,CUST1218,Notebook Pack,Stationery,Center,Retail,1,7.63,5.88,15,7.63,1.14,6.49,5.88,0.61,9.34,2025-12
ORD100039,2025-08-19,CUST1282,Monitor 27,Electronics,Islands,Online,2,139.4,89.38,15,278.8,41.82,236.98,178.76,58.22,24.57,2025-08
ORD100040,2025-01-01,CUST1107,Water Bottle,Accessories,Center,Retail,1,21.31,15.88,15,21.31,3.2,18.11,15.88,2.23,12.33,2025-01
ORD100041,2024-06-07,CUST1473,Smartphone X,Electronics,North,Retail,4,1466.21,1103.61,15,5864.84,879.73,4985.11,4414.44,570.67,11.45,2024-06
ORD100042,2024-12-06,CUST1400,Standing Desk,Furniture,South,Online,4,522.52,393.29,0,2090.08,0.0,2090.08,1573.16,516.92,24.73,2024-12
ORD100043,2024-02-09,CUST1439,Desk Lamp,Furniture,South,Online,1,495.45,329.51,0,495.45,0.0,495.45,329.51,165.94,33.49,2024-02
ORD100044,2024-01-25,CUST1337,Smartphone X,Electronics,Center,Online,2,475.62,269.85,10,951.24,95.12,856.12,539.7,316.42,36.96,2024-01
ORD100045,2025-11-26,CUST1431,Notebook Pack,Stationery,Center,Wholesale,1,5.97,4.59,0,5.97,0.0,5.97,4.59,1.38,23.12,2025-11
ORD100046,2024-02-09,CUST1055,Pen Set,Stationery,Center,Online,2,30.5,19.17,5,61.0,3.05,57.95,38.34,19.61,33.84,2024-02
ORD100047,2025-08-13,CUST1097,Wireless Headphones,Electronics,South,Wholesale,1,699.2,475.44,10,699.2,69.92,629.28,475.44,153.84,24.45,2025-08
ORD100048,2025-11-17,CUST1100,Office Chair,Furniture,South,Online,2,570.86,445.38,5,1141.72,57.09,1084.63,890.76,193.87,17.87,2025-11
ORD100049,2024-11-03,CUST1259,Wireless Headphones,Electronics,North,Retail,3,543.18,393.43,5,1629.54,81.48,1548.06,1180.29,367.77,23.76,2024-11
ORD100050,2025-01-23,CUST1346,Backpack,Accessories,North,Online,4,77.71,48.59,5,310.84,15.54,295.3,194.36,100.94,34.18,2025-01
ORD100051,2025-03-16,CUST1402,Pen Set,Stationery,Center,Retail,3,16.28,10.75,10,48.84,4.88,43.96,32.25,11.71,26.63,2025-03
ORD100052,2024-06-22,CUST1337,Laptop Air 13,Electronics,Islands,Online,1,1022.67,720.79,0,1022.67,0.0,1022.67,720.79,301.88,29.52,2024-06
ORD100053,2024-11-13,CUST1115,Smartphone X,Electronics,South,Online,1,145.62,115.91,5,145.62,7.28,138.34,115.91,22.43,16.21,2024-11
ORD100054,2025-10-06,CUST1294,Smartphone X,Electronics,South,Wholesale,3,625.25,406.36,0,1875.75,0.0,1875.75,1219.08,656.67,35.01,2025-10
ORD100055,2024-04-19,CUST1398,Standing Desk,Furniture,Center,Wholesale,1,488.34,353.55,5,488.34,24.42,463.92,353.55,110.37,23.79,2024-04
ORD100056,2024-05-04,CUST1233,Monitor 27,Electronics,Islands,Wholesale,4,1027.96,819.26,5,4111.84,205.59,3906.25,3277.04,629.21,16.11,2024-05
ORD100057,2025-09-19,CUST1417,Backpack,Accessories,North,Wholesale,4,56.94,44.23,0,227.76,0.0,227.76,176.92,50.84,22.32,2025-09
ORD100058,2025-04-05,CUST1132,Smartphone X,Electronics,North,Online,4,473.78,352.69,5,1895.12,94.76,1800.36,1410.76,389.6,21.64,2025-04
ORD100059,2025-12-31,CUST1146,Smartphone X,Electronics,North,Retail,1,533.99,365.8,0,533.99,0.0,533.99,365.8,168.19,31.5,2025-12
ORD100060,2025-12-24,CUST1109,Laptop Air 13,Electronics,South,Online,2,549.85,366.46,0,1099.7,0.0,1099.7,732.92,366.78,33.35,2025-12
ORD100061,2025-08-21,CUST1484,Backpack,Accessories,Islands,Online,1,106.87,74.16,5,106.87,5.34,101.53,74.16,27.37,26.96,2025-08
ORD100062,2025-02-03,CUST1436,Standing Desk,Furniture,Center,Online,2,448.74,336.54,15,897.48,134.62,762.86,673.08,89.78,11.77,2025-02
ORD100063,2025-05-12,CUST1014,Standing Desk,Furniture,Center,Online,1,417.11,271.57,0,417.11,0.0,417.11,271.57,145.54,34.89,2025-05
ORD100064,2025-09-29,CUST1273,Laptop Pro 14,Electronics,Center,Wholesale,4,920.49,658.84,0,3681.96,0.0,3681.96,2635.36,1046.6,28.43,2025-09
ORD100065,2024-07-05,CUST1025,Wireless Headphones,Electronics,Center,Retail,2,380.56,240.4,10,761.12,76.11,685.01,480.8,204.21,29.81,2024-07
ORD100066,2025-03-07,CUST1129,Laptop Air 13,Electronics,North,Online,2,1143.61,643.88,20,2287.22,457.44,1829.78,1287.76,542.02,29.62,2025-03
ORD100067,2025-10-29,CUST1020,Laptop Pro 14,Electronics,North,Retail,5,363.09,201.55,0,1815.45,0.0,1815.45,1007.75,807.7,44.49,2025-10
ORD100068,2025-07-31,CUST1485,Smartphone X,Electronics,Islands,Retail,2,443.87,285.06,5,887.74,44.39,843.35,570.12,273.23,32.4,2025-07
ORD100069,2024-06-16,CUST1493,Wireless Headphones,Electronics,Islands,Online,1,116.46,73.14,10,116.46,11.65,104.81,73.14,31.67,30.22,2024-06
ORD100070,2024-07-22,CUST1038,Pen Set,Stationery,South,Retail,3,26.95,15.51,10,80.85,8.08,72.77,46.53,26.23,36.05,2024-07
ORD100071,2024-05-03,CUST1407,Pen Set,Stationery,Center,Online,3,17.15,11.27,0,51.45,0.0,51.45,33.81,17.64,34.29,2024-05
ORD100072,2025-03-06,CUST1421,Desk Lamp,Furniture,South,Online,1,577.65,409.49,10,577.65,57.77,519.88,409.49,110.39,21.23,2025-03
ORD100073,2025-06-18,CUST1494,Water Bottle,Accessories,Center,Retail,1,98.9,67.7,5,98.9,4.95,93.96,67.7,26.26,27.94,2025-06
ORD100074,2024-10-01,CUST1165,Smartphone X,Electronics,Center,Retail,4,203.06,156.44,0,812.24,0.0,812.24,625.76,186.48,22.96,2024-10
ORD100075,2025-01-23,CUST1172,Laptop Pro 14,Electronics,North,Online,2,541.52,363.84,0,1083.04,0.0,1083.04,727.68,355.36,32.81,2025-01
ORD100076,2025-09-02,CUST1359,Wireless Headphones,Electronics,Center,Retail,2,813.61,486.35,0,1627.22,0.0,1627.22,972.7,654.52,40.22,2025-09
ORD100077,2024-09-03,CUST1353,Desk Lamp,Furniture,North,Retail,3,309.77,231.78,0,929.31,0.0,929.31,695.34,233.97,25.18,2024-09
ORD100078,2024-11-09,CUST1339,Pen Set,Stationery,Center,Online,2,24.37,15.5,20,48.74,9.75,38.99,31.0,7.99,20.5,2024-11
ORD100079,2025-04-09,CUST1138,Wireless Headphones,Electronics,Center,Retail,1,251.33,150.33,0,251.33,0.0,251.33,150.33,101.0,40.19,2025-04
ORD100080,2024-07-08,CUST1098,Smartphone X,Electronics,Center,Wholesale,3,472.63,329.61,10,1417.89,141.79,1276.1,988.83,287.27,22.51,2024-07
ORD100081,2024-07-17,CUST1151,Smartphone X,Electronics,North,Online,2,509.22,370.21,0,1018.44,0.0,1018.44,740.42,278.02,27.3,2024-07
ORD100082,2024-10-26,CUST1357,Monitor 27,Electronics,North,Online,3,1148.96,661.4,0,3446.88,0.0,3446.88,1984.2,1462.68,42.43,2024-10
ORD100083,2024-12-14,CUST1094,Laptop Pro 14,Electronics,Center,Retail,1,1303.65,754.19,0,1303.65,0.0,1303.65,754.19,549.46,42.15,2024-12
ORD100084,2025-12-03,CUST1027,Monitor 27,Electronics,North,Retail,1,879.23,550.36,20,879.23,175.85,703.38,550.36,153.02,21.76,2025-12
ORD100085,2025-09-12,CUST1305,Pen Set,Stationery,South,Wholesale,1,23.29,15.43,0,23.29,0.0,23.29,15.43,7.86,33.75,2025-09
ORD100086,2024-11-08,CUST1291,Pen Set,Stationery,Center,Online,1,38.6,22.19,10,38.6,3.86,34.74,22.19,12.55,36.13,2024-11
ORD100087,2024-03-24,CUST1080,Smartphone X,Electronics,Center,Online,1,186.59,102.75,5,186.59,9.33,177.26,102.75,74.51,42.03,2024-03
ORD100088,2024-08-25,CUST1147,Backpack,Accessories,North,Retail,1,104.56,59.37,0,104.56,0.0,104.56,59.37,45.19,43.22,2024-08
ORD100089,2025-08-26,CUST1338,Smartphone X,Electronics,South,Online,2,853.28,607.46,15,1706.56,255.98,1450.58,1214.92,235.66,16.25,2025-08
ORD100090,2024-06-18,CUST1405,Wireless Headphones,Electronics,Center,Online,2,1250.42,975.7,0,2500.84,0.0,2500.84,1951.4,549.44,21.97,2024-06
ORD100091,2025-02-16,CUST1482,Wireless Headphones,Electronics,Center,Online,2,781.19,445.36,0,1562.38,0.0,1562.38,890.72,671.66,42.99,2025-02
ORD100092,2024-09-13,CUST1013,Laptop Air 13,Electronics,North,Retail,1,1037.5,793.82,5,1037.5,51.88,985.62,793.82,191.8,19.46,2024-09
ORD100093,2024-10-02,CUST1295,Laptop Pro 14,Electronics,North,Wholesale,3,328.77,223.48,0,986.31,0.0,986.31,670.44,315.87,32.03,2024-10
ORD100094,2025-03-22,CUST1325,Desk Lamp,Furniture,North,Online,5,297.91,194.26,0,1489.55,0.0,1489.55,971.3,518.25,34.79,2025-03
ORD100095,2025-02-25,CUST1355,Desk Lamp,Furniture,Center,Online,1,568.76,428.5,5,568.76,28.44,540.32,428.5,111.82,20.7,2025-02
ORD100096,2024-11-27,CUST1059,Standing Desk,Furniture,Center,Online,4,500.21,275.26,15,2000.84,300.13,1700.71,1101.04,599.67,35.26,2024-11
ORD100097,2025-06-14,CUST1185,Pen Set,Stationery,Center,Wholesale,3,26.89,19.9,0,80.67,0.0,80.67,59.7,20.97,25.99,2025-06
ORD100098,2025-03-24,CUST1450,Backpack,Accessories,South,Online,2,13.18,9.32,10,26.36,2.64,23.72,18.64,5.08,21.43,2025-03
ORD100099,2024-01-15,CUST1282,Standing Desk,Furniture,North,Retail,1,595.59,463.51,5,595.59,29.78,565.81,463.51,102.3,18.08,2024-01
ORD100100,2025-05-25,CUST1477,Backpack,Accessories,Center,Online,1,87.6,57.28,5,87.6,4.38,83.22,57.28,25.94,31.17,2025-05
ORD100101,2024-05-28,CUST1196,Smartphone X,Electronics,North,Retail,5,801.7,617.17,15,4008.5,601.27,3407.22,3085.85,321.38,9.43,2024-05
ORD100102,2025-02-28,CUST1174,Notebook Pack,Stationery,Center,Retail,1,5.09,3.72,15,5.09,0.76,4.33,3.72,0.61,14.02,2025-02
ORD100103,2024-06-01,CUST1228,Notebook Pack,Stationery,Islands,Wholesale,2,16.64,12.33,0,33.28,0.0,33.28,24.66,8.62,25.9,2024-06
ORD100104,2025-12-15,CUST1122,Pen Set,Stationery,Center,Wholesale,2,34.96,22.82,0,69.92,0.0,69.92,45.64,24.28,34.73,2025-12
ORD100105,2025-01-25,CUST1197,Water Bottle,Accessories,North,Wholesale,3,81.72,48.05,20,245.16,49.03,196.13,144.15,51.98,26.5,2025-01
ORD100106,2024-12-05,CUST1445,Laptop Air 13,Electronics,South,Online,4,705.23,480.61,5,2820.92,141.05,2679.87,1922.44,757.43,28.26,2024-12
ORD100107,2025-11-01,CUST1496,Monitor 27,Electronics,Center,Online,1,1189.77,733.2,5,1189.77,59.49,1130.28,733.2,397.08,35.13,2025-11
ORD100108,2024-12-02,CUST1436,Water Bottle,Accessories,South,Wholesale,4,51.8,32.59,10,207.2,20.72,186.48,130.36,56.12,30.09,2024-12
ORD100109,2024-02-06,CUST1316,Laptop Air 13,Electronics,North,Wholesale,1,1051.85,654.09,0,1051.85,0.0,1051.85,654.09,397.76,37.82,2024-02
ORD100110,2025-10-10,CUST1360,Laptop Air 13,Electronics,South,Online,2,1065.48,826.66,0,2130.96,0.0,2130.96,1653.32,477.64,22.41,2025-10
ORD100111,2025-01-18,CUST1220,Monitor 27,Electronics,North,Retail,1,665.11,479.18,0,665.11,0.0,665.11,479.18,185.93,27.95,2025-01
ORD100112,2025-01-26,CUST1317,Water Bottle,Accessories,North,Online,1,110.41,64.68,5,110.41,5.52,104.89,64.68,40.21,38.34,2025-01
ORD100113,2024-01-10,CUST1460,Desk Lamp,Furniture,North,Retail,4,416.24,245.37,0,1664.96,0.0,1664.96,981.48,683.48,41.05,2024-01
ORD100114,2025-10-16,CUST1492,Standing Desk,Furniture,South,Online,3,290.4,181.65,20,871.2,174.24,696.96,544.95,152.01,21.81,2025-10
ORD100115,2025-01-25,CUST1292,Office Chair,Furniture,South,Online,2,595.83,371.68,20,1191.66,238.33,953.33,743.36,209.97,22.02,2025-01
ORD100116,2025-08-02,CUST1442,Water Bottle,Accessories,South,Wholesale,3,117.1,91.06,10,351.3,35.13,316.17,273.18,42.99,13.6,2025-08
ORD100117,2024-08-23,CUST1310,Office Chair,Furniture,South,Retail,1,138.38,84.78,10,138.38,13.84,124.54,84.78,39.76,31.93,2024-08
ORD100118,2024-05-20,CUST1321,Laptop Air 13,Electronics,Center,Retail,4,997.8,625.85,0,3991.2,0.0,3991.2,2503.4,1487.8,37.28,2024-05
ORD100119,2024-04-02,CUST1465,Wireless Headphones,Electronics,South,Online,1,670.01,402.14,10,670.01,67.0,603.01,402.14,200.87,33.31,2024-04
ORD100120,2025-05-28,CUST1467,Wireless Headphones,Electronics,South,Retail,4,444.9,336.42,5,1779.6,88.98,1690.62,1345.68,344.94,20.4,2025-05
ORD100121,2024-12-12,CUST1411,Laptop Air 13,Electronics,South,Retail,2,186.93,138.05,0,373.86,0.0,373.86,276.1,97.76,26.15,2024-12
ORD100122,2025-02-10,CUST1495,Notebook Pack,Stationery,Center,Retail,2,32.67,18.08,5,65.34,3.27,62.07,36.16,25.91,41.75,2025-02
ORD100123,2025-11-19,CUST1134,Pen Set,Stationery,Center,Retail,2,27.35,17.58,10,54.7,5.47,49.23,35.16,14.07,28.58,2025-11
ORD100124,2025-07-28,CUST1167,Pen Set,Stationery,North,Online,1,7.21,5.45,15,7.21,1.08,6.13,5.45,0.68,11.07,2025-07
ORD100125,2024-05-23,CUST1023,Laptop Pro 14,Electronics,North,Online,1,779.53,447.68,15,779.53,116.93,662.6,447.68,214.92,32.44,2024-05
ORD100126,2025-11-17,CUST1486,Backpack,Accessories,South,Retail,3,69.42,48.37,10,208.26,20.83,187.43,145.11,42.32,22.58,2025-11
ORD100127,2025-05-16,CUST1315,Standing Desk,Furniture,Center,Online,5,189.45,136.89,0,947.25,0.0,947.25,684.45,262.8,27.74,2025-05
ORD100128,2025-01-06,CUST1050,Water Bottle,Accessories,North,Wholesale,2,109.19,77.66,0,218.38,0.0,218.38,155.32,63.06,28.88,2025-01
ORD100129,2025-04-10,CUST1046,Water Bottle,Accessories,North,Wholesale,1,80.34,63.69,0,80.34,0.0,80.34,63.69,16.65,20.72,2025-04
ORD100130,2025-08-01,CUST1105,Laptop Air 13,Electronics,North,Retail,4,866.98,603.93,10,3467.92,346.79,3121.13,2415.72,705.41,22.6,2025-08
ORD100131,2025-09-02,CUST1001,Wireless Headphones,Electronics,North,Retail,4,285.46,166.28,0,1141.84,0.0,1141.84,665.12,476.72,41.75,2025-09
ORD100132,2024-01-27,CUST1067,Laptop Pro 14,Electronics,North,Online,2,1199.57,836.36,0,2399.14,0.0,2399.14,1672.72,726.42,30.28,2024-01
ORD100133,2025-03-07,CUST1269,Laptop Air 13,Electronics,North,Online,3,756.27,563.05,5,2268.81,113.44,2155.37,1689.15,466.22,21.63,2025-03
ORD100134,2025-09-21,CUST1022,Backpack,Accessories,Islands,Online,3,105.37,71.69,5,316.11,15.81,300.3,215.07,85.23,28.38,2025-09
ORD100135,2025-05-05,CUST1433,Standing Desk,Furniture,South,Online,2,91.54,66.65,0,183.08,0.0,183.08,133.3,49.78,27.19,2025-05
ORD100136,2024-05-31,CUST1033,Monitor 27,Electronics,Islands,Online,1,978.97,672.64,0,978.97,0.0,978.97,672.64,306.33,31.29,2024-05
ORD100137,2025-04-09,CUST1258,Pen Set,Stationery,South,Retail,2,32.76,18.96,10,65.52,6.55,58.97,37.92,21.05,35.69,2025-04
ORD100138,2024-08-08,CUST1220,Desk Lamp,Furniture,South,Online,4,265.87,201.22,0,1063.48,0.0,1063.48,804.88,258.6,24.32,2024-08
ORD100139,2024-11-16,CUST1340,Wireless Headphones,Electronics,South,Online,2,296.75,231.69,0,593.5,0.0,593.5,463.38,130.12,21.92,2024-11
ORD100140,2024-04-08,CUST1381,Backpack,Accessories,Center,Retail,2,24.31,13.74,20,48.62,9.72,38.9,27.48,11.42,29.35,2024-04
ORD100141,2025-02-24,CUST1181,Water Bottle,Accessories,North,Online,5,56.52,44.03,0,282.6,0.0,282.6,220.15,62.45,22.1,2025-02
ORD100142,2024-04-16,CUST1295,Notebook Pack,Stationery,South,Online,1,27.99,16.96,0,27.99,0.0,27.99,16.96,11.03,39.41,2024-04
ORD100143,2024-10-12,CUST1293,Smartphone X,Electronics,Center,Retail,4,1280.12,1015.95,10,5120.48,512.05,4608.43,4063.8,544.63,11.82,2024-10
ORD100144,2024-01-27,CUST1311,Water Bottle,Accessories,North,Online,4,39.42,23.46,10,157.68,15.77,141.91,93.84,48.07,33.87,2024-01
ORD100145,2024-01-07,CUST1092,Monitor 27,Electronics,North,Retail,2,649.11,380.03,5,1298.22,64.91,1233.31,760.06,473.25,38.37,2024-01
ORD100146,2024-08-08,CUST1192,Standing Desk,Furniture,Islands,Retail,2,119.72,75.17,0,239.44,0.0,239.44,150.34,89.1,37.21,2024-08
ORD100147,2024-02-23,CUST1079,Monitor 27,Electronics,Center,Retail,3,150.66,85.94,0,451.98,0.0,451.98,257.82,194.16,42.96,2024-02
ORD100148,2025-02-28,CUST1139,Smartphone X,Electronics,South,Online,3,241.62,158.86,0,724.86,0.0,724.86,476.58,248.28,34.25,2025-02
ORD100149,2025-11-14,CUST1157,Laptop Pro 14,Electronics,Islands,Retail,1,1477.91,833.09,0,1477.91,0.0,1477.91,833.09,644.82,43.63,2025-11
ORD100150,2024-09-18,CUST1148,Office Chair,Furniture,Center,Online,1,313.51,206.18,0,313.51,0.0,313.51,206.18,107.33,34.23,2024-09
ORD100151,2025-07-26,CUST1426,Water Bottle,Accessories,North,Wholesale,4,17.93,13.72,0,71.72,0.0,71.72,54.88,16.84,23.48,2025-07
ORD100152,2024-11-16,CUST1294,Standing Desk,Furniture,North,Online,2,434.41,284.29,0,868.82,0.0,868.82,568.58,300.24,34.56,2024-11
ORD100153,2025-09-24,CUST1235,Backpack,Accessories,Center,Online,4,19.69,14.99,0,78.76,0.0,78.76,59.96,18.8,23.87,2025-09
ORD100154,2025-02-09,CUST1445,Wireless Headphones,Electronics,Center,Online,3,394.63,293.91,0,1183.89,0.0,1183.89,881.73,302.16,25.52,2025-02
ORD100155,2024-07-17,CUST1463,Office Chair,Furniture,North,Online,2,576.19,409.88,0,1152.38,0.0,1152.38,819.76,332.62,28.86,2024-07
ORD100156,2024-06-26,CUST1308,Monitor 27,Electronics,Center,Retail,3,1010.82,600.72,10,3032.46,303.25,2729.21,1802.16,927.05,33.97,2024-06
ORD100157,2025-08-16,CUST1229,Water Bottle,Accessories,South,Retail,5,72.09,51.1,5,360.45,18.02,342.43,255.5,86.93,25.39,2025-08
ORD100158,2024-06-03,CUST1225,Laptop Air 13,Electronics,Center,Online,2,976.57,731.53,5,1953.14,97.66,1855.48,1463.06,392.42,21.15,2024-06
ORD100159,2025-04-17,CUST1231,Laptop Pro 14,Electronics,South,Retail,1,1261.01,717.75,15,1261.01,189.15,1071.86,717.75,354.11,33.04,2025-04
ORD100160,2025-06-03,CUST1196,Desk Lamp,Furniture,Islands,Retail,2,573.91,421.67,0,1147.82,0.0,1147.82,843.34,304.48,26.53,2025-06
ORD100161,2024-07-11,CUST1164,Pen Set,Stationery,South,Online,2,10.28,5.81,0,20.56,0.0,20.56,11.62,8.94,43.48,2024-07
ORD100162,2024-03-27,CUST1258,Water Bottle,Accessories,Center,Online,1,37.25,24.56,0,37.25,0.0,37.25,24.56,12.69,34.07,2024-03
ORD100163,2025-01-16,CUST1469,Wireless Headphones,Electronics,Center,Online,2,1179.74,849.09,0,2359.48,0.0,2359.48,1698.18,661.3,28.03,2025-01
ORD100164,2024-12-03,CUST1048,Notebook Pack,Stationery,Islands,Wholesale,3,14.95,10.93,10,44.85,4.48,40.36,32.79,7.57,18.77,2024-12
ORD100165,2024-12-07,CUST1041,Pen Set,Stationery,South,Online,3,37.09,23.28,10,111.27,11.13,100.14,69.84,30.3,30.26,2024-12
ORD100166,2025-12-26,CUST1480,Laptop Air 13,Electronics,South,Retail,1,614.88,459.88,10,614.88,61.49,553.39,459.88,93.51,16.9,2025-12
ORD100167,2025-12-02,CUST1467,Notebook Pack,Stationery,North,Wholesale,1,28.47,19.28,0,28.47,0.0,28.47,19.28,9.19,32.28,2025-12
ORD100168,2024-12-15,CUST1485,Desk Lamp,Furniture,South,Online,1,599.99,353.24,0,599.99,0.0,599.99,353.24,246.75,41.13,2024-12
ORD100169,2025-07-06,CUST1427,Backpack,Accessories,North,Online,4,14.15,8.97,10,56.6,5.66,50.94,35.88,15.06,29.56,2025-07
ORD100170,2024-06-15,CUST1092,Backpack,Accessories,Center,Retail,3,98.99,58.54,0,296.97,0.0,296.97,175.62,121.35,40.86,2024-06
ORD100171,2024-08-31,CUST1496,Desk Lamp,Furniture,North,Wholesale,3,458.86,342.29,0,1376.58,0.0,1376.58,1026.87,349.71,25.4,2024-08
ORD100172,2025-04-25,CUST1462,Smartphone X,Electronics,North,Online,2,1424.92,1134.39,5,2849.84,142.49,2707.35,2268.78,438.57,16.2,2025-04
